#ID	length	GC	coverage	S_2mer	S_3mer	S_4mer
k141_112	511	66.536	4.15	0.942	0.920	0.879
k141_168	510	65.882	3.04	0.944	0.929	0.888
k141_87	507	63.511	2.21	0.959	0.941	0.896
k141_642	506	71.739	2.96	0.905	0.885	0.845
k141_763	505	70.099	4.40	0.926	0.907	0.869
k141_433	505	59.208	2.09	0.977	0.961	0.917
k141_175	505	64.356	2.10	0.954	0.939	0.899
k141_567	503	70.378	2.07	0.928	0.916	0.878
k141_543	502	63.546	2.55	0.960	0.941	0.895
k141_442	501	70.060	2.50	0.928	0.912	0.878
k141_755	500	63.800	3.57	0.957	0.934	0.896
k141_454	499	64.529	2.75	0.956	0.933	0.894
k141_12	498	69.478	1.67	0.931	0.917	0.877
k141_117	498	64.659	3.75	0.948	0.930	0.894
k141_113	498	63.855	5.64	0.949	0.920	0.872
k141_9	497	62.173	3.88	0.971	0.963	0.932
k141_25	497	57.143	3.03	0.987	0.978	0.940
k141_520	494	62.146	1.99	0.971	0.959	0.924
k141_353	492	42.480	3.03	0.987	0.975	0.931
k141_390	491	59.267	2.61	0.977	0.959	0.919
k141_388	490	69.184	1.90	0.929	0.911	0.878
k141_718	489	66.462	2.12	0.937	0.917	0.872
k141_568	488	51.639	1.58	0.992	0.978	0.934
k141_707	487	71.663	1.64	0.900	0.886	0.850
k141_448	487	65.298	2.72	0.958	0.945	0.903
k141_397	485	58.557	2.43	0.982	0.966	0.927
k141_715	484	62.397	3.26	0.957	0.932	0.895
k141_83	482	65.353	2.19	0.954	0.934	0.893
k141_176	482	65.768	2.10	0.946	0.919	0.881
k141_359	481	66.112	2.31	0.952	0.931	0.887
k141_278	480	68.125	2.50	0.940	0.923	0.883
k141_471	479	57.620	1.56	0.976	0.965	0.930
k141_767	478	62.134	4.07	0.963	0.934	0.885
k141_582	478	67.155	1.59	0.940	0.920	0.878
k141_301	478	65.900	2.81	0.951	0.935	0.894
k141_395	476	58.193	1.53	0.976	0.962	0.927
k141_680	475	69.053	2.21	0.934	0.915	0.878
k141_694	474	63.502	2.77	0.962	0.946	0.899
k141_498	474	59.916	3.03	0.971	0.951	0.912
k141_446	474	67.089	3.10	0.946	0.926	0.889
k141_141	474	65.190	2.63	0.952	0.932	0.891
k141_710	473	52.220	1.59	0.989	0.973	0.933
k141_625	472	66.949	4.35	0.947	0.921	0.878
k141_23	472	58.475	3.04	0.969	0.950	0.909
k141_151	469	67.377	1.75	0.935	0.911	0.870
k141_147	469	55.011	1.95	0.987	0.975	0.937
k141_538	467	69.593	3.45	0.921	0.904	0.863
k141_32	467	61.028	2.17	0.970	0.954	0.914
k141_219	467	67.880	1.74	0.943	0.927	0.890
k141_68	466	64.163	1.69	0.961	0.944	0.898
k141_612	466	62.232	2.59	0.969	0.952	0.907
k141_757	465	62.796	3.61	0.967	0.948	0.899
k141_120	465	69.032	2.99	0.939	0.926	0.891
k141_722	463	66.307	1.95	0.946	0.932	0.893
k141_512	463	62.851	1.44	0.969	0.956	0.919
k141_86	462	68.615	1.63	0.932	0.913	0.871
k141_700	462	65.152	2.89	0.952	0.934	0.890
k141_697	460	49.348	2.77	0.994	0.975	0.928
k141_606	460	63.261	2.15	0.962	0.948	0.911
k141_670	459	59.695	2.39	0.973	0.958	0.913
k141_534	459	72.331	1.96	0.914	0.894	0.856
k141_486	459	65.577	1.92	0.954	0.935	0.892
k141_306	459	59.913	2.14	0.974	0.955	0.902
k141_753	458	66.376	2.77	0.927	0.902	0.863
k141_660	457	57.987	2.65	0.975	0.958	0.917
k141_212	457	67.177	1.96	0.946	0.926	0.890
k141_770	456	64.254	2.30	0.953	0.930	0.886
k141_526	454	67.181	1.69	0.947	0.928	0.887
k141_511	454	56.608	4.15	0.983	0.966	0.920
k141_264	454	64.097	2.84	0.955	0.941	0.893
k141_137	453	67.550	1.67	0.940	0.923	0.888
k141_242	452	59.956	2.73	0.976	0.959	0.913
k141_188	452	68.584	1.91	0.938	0.924	0.884
k141_779	451	62.306	2.38	0.966	0.950	0.911
k141_312	451	71.175	1.93	0.918	0.900	0.867
k141_135	451	56.319	12.03	0.985	0.973	0.933
k141_495	450	56.222	1.57	0.977	0.954	0.902
k141_169	450	65.111	2.42	0.953	0.931	0.889
k141_300	449	63.029	2.53	0.969	0.959	0.917
k141_628	448	43.080	1.42	0.990	0.983	0.942
k141_782	447	66.219	1.80	0.946	0.912	0.842
k141_231	447	59.508	8.10	0.975	0.959	0.920
k141_452	446	59.865	1.78	0.952	0.927	0.882
k141_405	446	65.919	3.15	0.940	0.918	0.874
k141_281	446	67.489	3.09	0.941	0.917	0.868
k141_759	445	66.067	1.91	0.953	0.933	0.885
k141_553	444	62.162	1.66	0.960	0.947	0.906
k141_533	444	63.288	1.52	0.960	0.944	0.904
k141_262	443	67.720	2.02	0.944	0.927	0.881
k141_419	442	62.217	3.63	0.970	0.943	0.896
k141_412	441	56.463	2.03	0.980	0.963	0.915
k141_10	441	65.986	1.93	0.955	0.938	0.902
k141_596	440	65.682	6.68	0.950	0.927	0.884
k141_766	439	71.982	1.77	0.921	0.902	0.864
k141_599	439	66.059	3.73	0.949	0.936	0.892
k141_739	437	64.760	2.04	0.962	0.943	0.889
k141_550	437	67.735	2.48	0.943	0.929	0.886
k141_459	437	68.421	2.06	0.942	0.926	0.891
k141_26	437	62.014	2.41	0.933	0.906	0.855
k141_749	436	64.908	2.59	0.959	0.940	0.894
k141_569	436	68.119	3.10	0.943	0.925	0.888
k141_686	435	71.264	2.55	0.899	0.875	0.827
k141_255	435	66.207	3.18	0.953	0.932	0.887
k141_196	435	61.839	2.53	0.967	0.948	0.902
k141_329	432	54.630	2.27	0.991	0.980	0.934
k141_237	432	70.370	2.27	0.926	0.907	0.868
k141_335	431	57.773	2.89	0.984	0.965	0.917
k141_81	430	63.256	2.52	0.948	0.926	0.882
k141_716	430	63.721	2.89	0.958	0.934	0.882
k141_691	430	66.977	2.62	0.944	0.923	0.875
k141_473	430	66.744	1.93	0.945	0.920	0.881
k141_47	430	62.791	3.93	0.956	0.925	0.878
k141_265	430	51.860	2.57	0.984	0.968	0.928
k141_51	428	57.944	1.95	0.975	0.957	0.910
k141_468	428	66.355	2.36	0.944	0.923	0.878
k141_29	428	60.981	5.49	0.970	0.947	0.892
k141_161	428	75.701	1.89	0.867	0.839	0.800
k141_123	428	53.037	4.33	0.976	0.963	0.923
k141_717	427	63.934	1.59	0.961	0.946	0.902
k141_695	426	62.441	1.75	0.965	0.943	0.894
k141_303	426	62.207	1.37	0.967	0.946	0.898
k141_269	426	73.944	1.69	0.896	0.871	0.831
k141_206	426	65.258	1.49	0.952	0.933	0.889
k141_647	425	65.176	1.77	0.951	0.939	0.895
k141_611	425	58.118	2.61	0.978	0.953	0.902
k141_365	425	63.059	2.11	0.959	0.943	0.897
k141_221	425	55.529	2.20	0.978	0.960	0.907
k141_768	424	67.925	2.94	0.939	0.927	0.890
k141_67	424	43.632	3.03	0.979	0.965	0.924
k141_610	424	68.396	1.71	0.942	0.929	0.882
k141_127	424	62.028	1.75	0.971	0.960	0.916
k141_685	423	62.884	2.45	0.960	0.930	0.882
k141_422	423	66.194	2.15	0.952	0.935	0.884
k141_258	423	66.430	1.63	0.942	0.922	0.879
k141_246	423	66.430	4.46	0.943	0.918	0.870
k141_467	422	57.109	2.19	0.978	0.969	0.918
k141_465	421	67.221	2.60	0.940	0.924	0.882
k141_310	421	66.271	1.86	0.948	0.928	0.883
k141_30	421	70.784	2.06	0.924	0.902	0.858
k141_272	421	64.608	1.75	0.954	0.939	0.894
k141_157	421	62.470	2.77	0.962	0.936	0.890
k141_672	420	59.524	2.29	0.979	0.966	0.919
k141_748	419	60.859	2.67	0.973	0.952	0.899
k141_64	419	66.348	2.68	0.950	0.936	0.896
k141_570	419	66.110	2.61	0.946	0.919	0.869
k141_566	418	64.354	2.42	0.961	0.946	0.904
k141_525	417	64.988	2.15	0.953	0.928	0.881
k141_476	416	66.346	1.45	0.942	0.910	0.868
k141_235	416	68.990	2.18	0.936	0.914	0.866
k141_675	415	61.928	1.92	0.969	0.948	0.904
k141_547	414	65.217	2.53	0.947	0.930	0.885
k141_479	414	71.739	1.96	0.916	0.901	0.862
k141_363	414	65.459	2.28	0.940	0.911	0.864
k141_89	413	68.039	2.84	0.924	0.899	0.852
k141_658	413	51.332	4.91	0.977	0.961	0.914
k141_304	413	68.523	3.37	0.933	0.905	0.858
k141_19	413	61.259	2.73	0.970	0.947	0.898
k141_527	412	68.932	1.69	0.930	0.908	0.863
k141_521	412	61.408	1.95	0.977	0.963	0.911
k141_180	412	63.592	2.33	0.963	0.944	0.900
k141_338	411	63.990	3.08	0.964	0.939	0.889
k141_31	411	62.044	4.55	0.966	0.944	0.900
k141_276	411	56.204	2.19	0.981	0.958	0.908
k141_773	410	65.366	1.87	0.955	0.942	0.904
k141_514	410	63.659	2.50	0.962	0.944	0.892
k141_341	409	65.037	2.42	0.954	0.929	0.881
k141_222	409	66.259	2.14	0.944	0.927	0.886
k141_79	408	60.539	4.07	0.974	0.959	0.925
k141_780	408	68.382	4.14	0.923	0.888	0.833
k141_673	408	65.441	3.19	0.957	0.939	0.894
k141_575	408	69.118	2.38	0.934	0.909	0.863
k141_559	408	65.686	1.48	0.950	0.931	0.889
k141_464	407	64.373	2.93	0.950	0.929	0.883
k141_40	407	62.654	1.30	0.960	0.938	0.887
k141_355	406	60.099	3.18	0.967	0.941	0.893
k141_579	405	70.864	2.20	0.922	0.903	0.856
k141_539	405	68.395	4.67	0.939	0.920	0.879
k141_145	404	58.663	2.40	0.978	0.962	0.912
k141_427	402	64.428	1.50	0.950	0.928	0.882
k141_239	402	54.229	2.57	0.972	0.947	0.890
k141_90	401	72.070	1.83	0.913	0.885	0.843
k141_723	401	50.873	1.50	0.990	0.977	0.928
k141_702	401	66.584	1.51	0.952	0.937	0.889
k141_507	401	62.843	2.85	0.960	0.939	0.892
k141_504	401	62.344	1.49	0.968	0.952	0.913
k141_373	401	66.584	4.89	0.940	0.918	0.875
k141_36	401	63.342	2.18	0.962	0.943	0.900
k141_177	401	62.843	2.76	0.961	0.940	0.895
k141_736	400	57.750	2.06	0.984	0.968	0.920
k141_696	400	70.000	2.21	0.924	0.901	0.858
k141_688	400	67.000	2.39	0.945	0.919	0.874
k141_659	400	61.000	2.32	0.963	0.930	0.880
k141_483	400	59.250	1.90	0.973	0.952	0.899
k141_154	400	61.500	1.37	0.958	0.937	0.884
k141_565	399	65.915	2.25	0.941	0.925	0.876
k141_46	399	55.639	2.25	0.980	0.963	0.914
k141_44	399	67.419	1.97	0.932	0.911	0.856
k141_71	398	63.819	2.02	0.959	0.946	0.904
k141_519	398	70.352	2.83	0.916	0.886	0.845
k141_387	398	63.065	3.22	0.969	0.951	0.905
k141_305	398	64.070	1.89	0.943	0.919	0.871
k141_167	398	57.789	2.64	0.980	0.968	0.928
k141_540	397	66.751	2.38	0.937	0.918	0.875
k141_162	397	67.758	1.30	0.938	0.920	0.872
k141_734	396	62.121	1.89	0.963	0.942	0.890
k141_96	395	65.316	2.65	0.946	0.926	0.884
k141_683	395	66.076	3.10	0.945	0.917	0.859
k141_501	395	58.987	1.91	0.979	0.961	0.913
k141_259	395	61.266	2.13	0.976	0.955	0.900
k141_192	393	63.104	3.75	0.965	0.939	0.882
k141_735	391	36.061	2.07	0.958	0.937	0.889
k141_5	391	57.289	5.07	0.972	0.948	0.893
k141_396	391	73.146	1.85	0.890	0.865	0.830
k141_130	391	65.217	2.46	0.952	0.932	0.887
k141_548	390	61.282	2.93	0.969	0.950	0.904
k141_357	390	65.897	2.46	0.945	0.925	0.874
k141_316	390	64.872	2.98	0.937	0.909	0.856
k141_213	389	63.753	2.11	0.965	0.946	0.900
k141_777	388	62.113	2.66	0.966	0.941	0.886
k141_69	388	14.948	11.87	0.773	0.750	0.712
k141_557	388	66.237	2.23	0.929	0.904	0.853
k141_294	388	63.144	3.41	0.958	0.935	0.886
k141_191	388	61.082	1.86	0.963	0.941	0.894
k141_781	387	51.938	2.47	0.979	0.931	0.842
k141_689	387	71.059	1.62	0.911	0.892	0.850
k141_41	387	59.948	8.45	0.972	0.958	0.911
k141_55	386	65.285	2.24	0.949	0.920	0.870
k141_45	386	64.767	2.35	0.957	0.937	0.897
k141_402	386	65.803	1.72	0.947	0.926	0.881
k141_379	386	63.731	1.88	0.957	0.929	0.870
k141_17	386	68.394	3.35	0.936	0.915	0.865
k141_138	386	65.803	2.31	0.951	0.937	0.890
k141_371	385	65.195	1.85	0.952	0.928	0.876
k141_230	385	62.857	2.58	0.956	0.935	0.885
k141_111	385	68.312	3.51	0.927	0.902	0.850
k141_595	384	62.500	2.51	0.967	0.941	0.881
k141_386	384	58.594	2.00	0.984	0.970	0.918
k141_364	384	63.542	4.16	0.958	0.935	0.879
k141_344	384	66.146	2.73	0.937	0.917	0.866
k141_343	384	65.885	2.38	0.935	0.910	0.859
k141_741	383	61.880	4.30	0.960	0.937	0.887
k141_682	383	67.885	2.01	0.938	0.914	0.866
k141_643	383	66.057	2.73	0.942	0.923	0.879
k141_609	383	64.230	3.22	0.961	0.940	0.889
k141_50	383	63.185	3.47	0.964	0.946	0.902
k141_635	382	64.136	2.48	0.962	0.938	0.881
k141_630	381	64.042	1.97	0.961	0.942	0.895
k141_564	381	68.241	3.60	0.929	0.904	0.854
k141_492	381	62.992	1.45	0.959	0.936	0.890
k141_421	381	63.517	2.30	0.957	0.939	0.888
k141_227	381	58.268	2.19	0.973	0.955	0.907
k141_59	380	69.211	2.36	0.915	0.880	0.824
k141_225	380	61.579	2.16	0.964	0.944	0.895
k141_726	378	65.608	1.99	0.950	0.929	0.873
k141_619	378	63.228	3.03	0.964	0.945	0.902
k141_472	378	57.407	1.96	0.981	0.964	0.911
k141_687	377	69.496	1.73	0.935	0.918	0.869
k141_513	377	62.334	2.27	0.957	0.939	0.892
k141_372	377	50.928	1.78	0.986	0.967	0.913
k141_289	377	61.804	1.97	0.973	0.950	0.896
k141_66	376	63.830	2.17	0.963	0.945	0.899
k141_350	376	66.489	2.24	0.948	0.931	0.886
k141_332	376	60.638	2.37	0.970	0.950	0.894
k141_256	376	69.149	2.46	0.936	0.912	0.867
k141_234	376	63.032	2.32	0.955	0.930	0.867
k141_775	375	68.000	2.01	0.940	0.912	0.866
k141_293	375	55.733	3.52	0.985	0.964	0.917
k141_223	375	65.333	3.66	0.955	0.938	0.899
k141_751	374	52.406	2.04	0.985	0.966	0.917
k141_158	374	59.893	2.42	0.977	0.961	0.913
k141_620	373	68.901	2.02	0.928	0.911	0.863
k141_572	372	65.860	2.69	0.946	0.920	0.875
k141_510	372	70.430	2.77	0.929	0.904	0.860
k141_650	371	63.073	3.07	0.948	0.922	0.868
k141_590	371	60.647	3.52	0.969	0.952	0.895
k141_327	371	74.394	1.22	0.895	0.869	0.817
k141_270	371	66.307	1.21	0.947	0.913	0.860
k141_182	371	67.925	1.62	0.943	0.926	0.887
k141_502	370	61.892	3.41	0.968	0.940	0.886
k141_42	370	65.676	1.99	0.952	0.933	0.892
k141_458	369	66.667	2.67	0.950	0.929	0.884
k141_35	369	65.312	1.88	0.952	0.927	0.875
k141_268	369	70.190	1.91	0.919	0.899	0.850
k141_245	369	57.724	2.42	0.968	0.948	0.896
k141_171	369	66.396	2.06	0.948	0.925	0.875
k141_730	368	58.967	2.97	0.979	0.962	0.910
k141_648	368	61.413	2.84	0.971	0.947	0.896
k141_416	368	62.500	2.22	0.969	0.949	0.891
k141_308	368	65.761	1.71	0.945	0.923	0.863
k141_252	368	64.674	2.30	0.960	0.940	0.884
k141_102	368	64.130	2.27	0.956	0.935	0.889
k141_560	367	67.575	2.72	0.945	0.930	0.885
k141_506	367	61.580	2.85	0.957	0.923	0.865
k141_384	367	71.935	2.12	0.916	0.891	0.844
k141_351	367	69.210	2.07	0.929	0.912	0.864
k141_347	367	67.302	2.12	0.941	0.923	0.879
k141_323	367	56.948	1.64	0.965	0.942	0.889
k141_377	366	71.038	1.44	0.925	0.899	0.857
k141_362	366	68.306	2.77	0.924	0.892	0.831
k141_57	365	65.479	1.23	0.956	0.943	0.892
k141_251	365	64.932	2.17	0.946	0.925	0.875
k141_208	365	61.370	2.47	0.974	0.955	0.910
k141_115	365	64.384	3.28	0.961	0.944	0.885
k141_646	364	71.154	1.46	0.907	0.883	0.834
k141_604	364	63.736	2.90	0.949	0.925	0.872
k141_484	364	72.527	1.49	0.902	0.876	0.827
k141_434	364	62.363	1.94	0.939	0.915	0.863
k141_369	364	66.484	2.73	0.944	0.923	0.878
k141_288	364	68.132	2.68	0.915	0.884	0.834
k141_184	364	64.286	2.60	0.938	0.910	0.861
k141_100	364	61.538	2.88	0.969	0.955	0.911
k141_664	363	60.331	2.08	0.977	0.963	0.916
k141_438	363	64.187	2.03	0.954	0.932	0.874
k141_706	362	69.890	2.09	0.917	0.897	0.852
k141_666	362	62.983	2.48	0.965	0.948	0.900
k141_593	362	61.326	3.40	0.973	0.959	0.902
k141_503	362	67.403	1.51	0.943	0.924	0.876
k141_150	362	73.481	1.91	0.892	0.876	0.832
k141_626	361	63.158	2.19	0.962	0.949	0.896
k141_457	361	64.820	2.93	0.956	0.940	0.899
k141_14	361	59.557	1.94	0.976	0.957	0.908
k141_704	360	59.722	2.52	0.962	0.946	0.898
k141_617	360	62.500	3.59	0.964	0.944	0.898
k141_54	360	36.667	4.28	0.950	0.927	0.873
k141_404	360	64.444	1.98	0.955	0.930	0.881
k141_389	360	58.056	2.41	0.974	0.962	0.900
k141_360	360	65.833	2.84	0.946	0.920	0.874
k141_194	360	70.278	2.52	0.918	0.889	0.839
k141_165	360	51.944	2.00	0.990	0.975	0.914
k141_490	359	56.267	1.68	0.978	0.952	0.897
k141_275	359	69.359	3.79	0.934	0.910	0.861
k141_181	359	64.624	4.33	0.955	0.936	0.878
k141_179	359	60.167	1.68	0.958	0.934	0.873
k141_574	358	55.587	2.53	0.988	0.968	0.913
k141_3	358	63.966	2.92	0.960	0.939	0.884
k141_297	358	65.642	2.46	0.947	0.925	0.870
k141_455	357	65.546	2.80	0.944	0.919	0.874
k141_16	357	66.947	1.80	0.937	0.913	0.859
k141_159	357	60.784	2.10	0.959	0.936	0.880
k141_99	356	64.607	2.13	0.958	0.935	0.889
k141_714	356	61.798	3.38	0.963	0.944	0.900
k141_667	356	65.449	1.27	0.943	0.921	0.863
k141_290	356	59.831	2.13	0.970	0.946	0.889
k141_279	356	64.607	1.67	0.946	0.922	0.866
k141_200	356	62.921	2.65	0.965	0.943	0.883
k141_577	355	69.859	2.96	0.929	0.904	0.861
k141_645	354	66.949	2.35	0.947	0.921	0.870
k141_578	354	64.972	2.54	0.945	0.920	0.871
k141_542	354	65.537	2.44	0.948	0.929	0.872
k141_49	354	66.102	2.00	0.952	0.925	0.868
k141_475	354	65.819	2.36	0.942	0.917	0.863
k141_291	354	61.299	2.99	0.963	0.943	0.879
k141_693	353	64.873	2.10	0.947	0.910	0.850
k141_692	353	57.507	2.18	0.981	0.971	0.915
k141_541	353	66.572	3.39	0.949	0.928	0.878
k141_537	353	69.405	2.65	0.918	0.896	0.849
k141_368	353	58.924	3.52	0.971	0.936	0.876
k141_204	353	67.139	1.64	0.943	0.921	0.869
k141_530	352	59.091	2.12	0.968	0.940	0.874
k141_624	351	70.370	2.11	0.929	0.904	0.860
k141_613	351	61.254	1.79	0.959	0.933	0.881
k141_532	351	66.097	2.00	0.942	0.916	0.869
k141_38	351	72.934	1.98	0.912	0.889	0.843
k141_370	351	61.254	1.33	0.976	0.956	0.912
k141_771	350	64.857	1.88	0.955	0.938	0.880
k141_654	350	63.714	3.12	0.949	0.922	0.871
k141_587	350	61.143	2.61	0.968	0.939	0.884
k141_52	350	66.286	1.72	0.952	0.931	0.878
k141_440	350	62.571	2.31	0.962	0.935	0.880
k141_409	350	66.000	3.85	0.917	0.891	0.829
k141_4	350	68.857	1.66	0.925	0.895	0.846
k141_348	350	62.571	3.64	0.960	0.937	0.877
k141_309	350	66.000	2.41	0.933	0.899	0.853
k141_634	349	67.622	2.60	0.945	0.926	0.872
k141_295	349	71.920	3.60	0.906	0.880	0.835
k141_622	348	62.644	2.55	0.957	0.940	0.881
k141_545	348	64.080	3.97	0.952	0.925	0.861
k141_328	348	61.207	2.55	0.967	0.947	0.895
k141_2	348	69.828	2.15	0.933	0.918	0.869
k141_197	348	56.897	1.91	0.974	0.945	0.890
k141_178	348	65.517	1.82	0.952	0.931	0.878
k141_746	347	63.401	2.16	0.962	0.933	0.868
k141_7	347	46.110	1.65	0.983	0.960	0.912
k141_561	347	63.689	2.24	0.958	0.937	0.882
k141_166	347	65.418	1.53	0.956	0.943	0.891
k141_725	346	69.653	2.58	0.925	0.904	0.856
k141_713	346	60.116	4.04	0.968	0.948	0.901
k141_466	346	67.341	1.60	0.939	0.914	0.859
k141_391	346	66.763	4.17	0.936	0.912	0.858
k141_201	346	64.162	2.32	0.944	0.918	0.857
k141_119	346	71.965	1.84	0.921	0.899	0.849
k141_11	346	66.474	1.74	0.953	0.940	0.892
k141_296	345	64.348	2.61	0.960	0.937	0.887
k141_618	344	68.895	2.09	0.932	0.917	0.870
k141_493	344	66.279	2.98	0.948	0.927	0.867
k141_284	344	61.628	2.21	0.962	0.943	0.883
k141_183	344	63.953	1.75	0.936	0.903	0.850
k141_774	343	58.309	1.66	0.977	0.953	0.902
k141_588	343	64.723	2.56	0.954	0.926	0.868
k141_382	343	65.306	2.04	0.955	0.935	0.888
k141_315	343	66.181	2.13	0.954	0.930	0.876
