#Observation	name	definition	A.1	A.2	B.1	B.2
K19641	hupR, hoxA	two-component system, NtrC family, response regulator HupR/HoxA	2	1	1	1
K06350	kipA	antagonist of KipI	2	2	2	2
K07511	ECHS1	enoyl-CoA hydratase [EC:4.2.1.17]	7	11	3	6
K07514	EHHADH	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]	3	6	4	2
K07515	HADHA	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]	1	1	1	2
K10213	rihB	ribosylpyrimidine nucleosidase [EC:3.2.2.8]	1	4	1	1
K10747	LIG1	DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	22	16	24	28
K10215	ethA	monooxygenase [EC:1.14.13.-]	2	12	16	10
K10219	ligC	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [EC:1.1.1.312]	6	6	3	2
K10218	ligK, galC	4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	1	5	1	1
K01912	paaK	phenylacetate-CoA ligase [EC:6.2.1.30]	19	10	14	6
K01911	menE	o-succinylbenzoate---CoA ligase [EC:6.2.1.26]	15	27	24	33
K01916	nadE	NAD+ synthase [EC:6.3.1.5]	11	10	12	14
K01915	glnA, GLUL	glutamine synthetase [EC:6.3.1.2]	83	84	67	95
K01918	panC	pantoate--beta-alanine ligase [EC:6.3.2.1]	27	18	26	17
K01919	gshA	glutamate--cysteine ligase [EC:6.3.2.2]	5	8	11	5
K07775	resD	two-component system, OmpR family, response regulator ResD	2	2	4	2
K18682	rny	ribonucrease Y [EC:3.1.-.-]	11	10	24	26
K07048	PTER, php	phosphotriesterase-related protein	4	1	4	2
K05936	cobM, cbiF	precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]	4	5	2	7
K18687	fadD3	HIP---CoA ligase [EC:6.2.1.41]	8	4	8	4
K18688	fadD19	3-oxocholest-4-en-26-oate---CoA ligase [EC:6.2.1.42]	10	7	11	6
K05939	aas	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	10	8	6	7
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	5	4	2	1
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	15	14	11	11
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	16	19	4	4
K00372	nasA	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	6	7	3	4
K01358	clpP, CLPP	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	26	35	41	46
K09165	K09165	dodecin	1	1	2	4
K03809	wrbA	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	1	1	5	2
K01354	ptrB	oligopeptidase B [EC:3.4.21.83]	3	4	10	7
K01356	lexA	repressor LexA [EC:3.4.21.88]	25	15	27	20
K11594	DDX3X, bel	ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]	2	5	6	5
K05853	ATP2A	P-type Ca2+ transporter type 2A [EC:7.2.2.10]	6	5	5	1
K05606	MCEE, epi	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	4	5	3	4
K15555	ssuB	sulfonate transport system ATP-binding protein [EC:7.6.2.14]	18	11	18	18
K15554	ssuC	sulfonate transport system permease protein	1	2	1	2
K01825	fadB	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	11	18	15	17
K01823	idi, IDI	isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	7	7	6	6
K04078	groES, HSPE1	chaperonin GroES	18	23	24	23
K04079	HSP90A, htpG	molecular chaperone HtpG	29	23	34	16
K04077	groEL, HSPD1	chaperonin GroEL	156	156	126	130
K04075	tilS, mesJ	tRNA(Ile)-lysidine synthase [EC:6.3.4.19]	16	10	7	8
K04072	adhE	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	4	7	1	3
K04073	mhpF	acetaldehyde dehydrogenase [EC:1.2.1.10]	1	1	8	3
K00995	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	9	2	4	4
K00997	acpS	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	12	5	11	4
K00996	rfbP	undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]	3	3	4	3
K00991	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	9	10	10	6
K00990	glnD	[protein-PII] uridylyltransferase [EC:2.7.7.59]	30	26	15	22
K05581	ndhJ	NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]	1	2	1	2
K18235	vgb	virginiamycin B lyase [EC:4.2.99.-]	10	9	9	10
K01195	uidA, GUSB	beta-glucuronidase [EC:3.2.1.31]	1	1	1	1
K22522	LOG	cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]	4	3	1	3
K02931	RP-L5, MRPL5, rplE	large subunit ribosomal protein L5	25	17	25	22
K02933	RP-L6, MRPL6, rplF	large subunit ribosomal protein L6	26	23	15	17
K02935	RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	10	13	11	6
K02939	RP-L9, MRPL9, rplI	large subunit ribosomal protein L9	21	25	10	13
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	6	1	4	1
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	2	2	1	2
K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	32	20	17	22
K01000	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	33	45	27	22
K01006	ppdK	pyruvate, orthophosphate dikinase [EC:2.7.9.1]	68	99	72	70
K01007	pps, ppsA	pyruvate, water dikinase [EC:2.7.9.2]	33	52	28	26
K01008	selD, SEPHS	selenide, water dikinase [EC:2.7.9.3]	28	18	21	18
K03628	rho	transcription termination factor Rho	40	42	47	34
K13483	yagT	xanthine dehydrogenase YagT iron-sulfur-binding subunit	6	2	6	14
K14441	rimO	ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	51	38	41	36
K14446	ccr	crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]	7	5	5	4
K14447	ecm	ethylmalonyl-CoA mutase [EC:5.4.99.63]	10	14	12	7
K14449	mch, mcd	2-methylfumaryl-CoA hydratase [EC:4.2.1.148]	3	2	2	1
K18122	cat2, abfT	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]	13	11	3	2
K01136	IDS	iduronate 2-sulfatase [EC:3.1.6.13]	1	2	1	1
K01130	E3.1.6.1	arylsulfatase [EC:3.1.6.1]	11	7	1	2
K01132	GALNS	N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]	2	2	2	1
K01139	spoT	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	24	24	10	14
K02113	ATPF1D, atpH	F-type H+-transporting ATPase subunit delta	6	10	8	8
K03469	rnhA, RNASEH1	ribonuclease HI [EC:3.1.26.4]	10	13	6	7
K02111	ATPF1A, atpA	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	80	86	68	69
K02110	ATPF0C, atpE	F-type H+-transporting ATPase subunit c	5	3	1	1
K02440	GLPF	glycerol uptake facilitator protein	3	3	1	2
K02115	ATPF1G, atpG	F-type H+-transporting ATPase subunit gamma	14	28	28	19
K02114	ATPF1E, atpC	F-type H+-transporting ATPase subunit epsilon	7	9	7	22
K02118	ATPVB, ntpB, atpB	V/A-type H+/Na+-transporting ATPase subunit B	17	11	1	1
K03465	thyX, thy1	thymidylate synthase (FAD) [EC:2.1.1.148]	5	6	8	3
K03466	ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	54	54	73	48
K01649	leuA, IMS	2-isopropylmalate synthase [EC:2.3.3.13]	105	89	71	91
K20448	ndhM	nicotinate dehydrogenase medium molybdopterin subunit [EC:1.17.1.5]	3	3	1	1
K20444	rfbC	O-antigen biosynthesis protein [EC:2.4.1.-]	2	1	3	2
K01640	E4.1.3.4, HMGCL, hmgL	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	11	7	8	11
K01641	E2.3.3.10	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	8	5	1	1
K01647	CS, gltA	citrate synthase [EC:2.3.3.1]	56	38	38	61
K16264	czcD, zitB	cobalt-zinc-cadmium efflux system protein	6	4	1	2
K02025	ABC.MS.P	multiple sugar transport system permease protein	5	3	8	8
K03519	coxM, cutM	aerobic carbon-monoxide dehydrogenase medium subunit [EC:1.2.5.3]	4	5	5	8
K03517	nadA	quinolinate synthase [EC:2.5.1.72]	28	33	15	24
K01749	hemC, HMBS	hydroxymethylbilane synthase [EC:2.5.1.61]	30	24	18	17
K15577	nrtB, nasE, cynB	nitrate/nitrite transport system permease protein	1	1	1	1
K03885	ndh	NADH:ubiquinone reductase (H+-translocating) [EC:7.1.1.2]	1	2	4	6
K03883	ND5	NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]	11	7	5	10
K03881	ND4	NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]	2	9	2	3
K04518	pheA2	prephenate dehydratase [EC:4.2.1.51]	5	1	3	1
K09759	aspC, aspS	nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]	3	1	4	5
K02204	thrB2	homoserine kinase type II [EC:2.7.1.39]	8	7	6	3
K02200	ccmH	cytochrome c-type biogenesis protein CcmH	8	5	4	1
K15635	apgM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	15	11	6	6
K22010	pdtaR	two-component system, response regulator PdtaR	2	3	3	2
K16967	dmoA	dimethyl-sulfide monooxygenase [EC:1.14.13.131]	2	1	3	1
K17744	GalDH	L-galactose dehydrogenase [EC:1.1.1.316]	2	3	1	1
K03088	rpoE	RNA polymerase sigma-70 factor, ECF subfamily	35	39	76	53
K03089	rpoH	RNA polymerase sigma-32 factor	11	12	3	12
K03086	rpoD	RNA polymerase primary sigma factor	74	76	90	76
K08976	K08976	putative membrane protein	1	2	3	1
K03242	EIF2S3	translation initiation factor 2 subunit 3	6	3	2	4
K00919	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	14	12	7	8
K16167	bpsA, srsA, pks11, pks10	alkylresorcinol/alkylpyrone synthase	2	2	4	1
K13491	wspF	two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]	3	4	4	4
K03644	lipA, LIAS, LIP1, LIP5	lipoyl synthase [EC:2.8.1.8]	39	45	37	31
K03640	pal	peptidoglycan-associated lipoprotein	6	10	7	7
K03641	tolB	TolB protein	36	27	19	22
K03642	rlpA	rare lipoprotein A	12	8	7	5
K03648	UNG, UDG	uracil-DNA glycosylase [EC:3.2.2.27]	2	4	2	3
K18828	mvpA, vapC	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	1	3	1	1
K21420	bpt	leucyl-tRNA---protein transferase [EC:2.3.2.29]	3	5	5	5
K07180	prkA	serine protein kinase	8	11	7	7
K06215	pdxS, pdx1	pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	21	17	34	21
K06217	phoH, phoL	phosphate starvation-inducible protein PhoH and related proteins	19	27	25	16
K09930	K09930	uncharacterized protein	10	9	13	13
K06213	mgtE	magnesium transporter	4	5	9	4
K11645	fbaB	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	11	6	4	5
K10380	ANK	ankyrin	2	2	1	1
K06969	rlmI	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	13	7	3	5
K11517	HAO	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15]	7	7	10	15
K06966	ppnN	pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]	4	2	2	3
K00748	lpxB	lipid-A-disaccharide synthase [EC:2.4.1.182]	18	10	10	8
K07507	mgtC	putative Mg2+ transporter-C (MgtC) family protein	5	2	2	3
K05810	yfiH	polyphenol oxidase [EC:1.10.3.-]	4	2	1	4
K07503	nucS	endonuclease [EC:3.1.-.-]	4	3	5	2
K08990	ycjF	putative membrane protein	2	2	1	2
K08999	K08999	uncharacterized protein	4	2	5	3
K08998	K08998	uncharacterized protein	4	6	8	8
K09808	lolC_E	lipoprotein-releasing system permease protein	6	12	3	4
K10912	luxO	two-component system, repressor protein LuxO	4	6	2	2
K10773	NTH	endonuclease III [EC:4.2.99.18]	26	14	13	17
K01903	sucC	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	63	49	41	47
K01902	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	24	30	33	22
K01905	acdA	acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]	9	12	1	4
K01904	4CL	4-coumarate--CoA ligase [EC:6.2.1.12]	10	8	8	8
K01907	AACS, acsA	acetoacetyl-CoA synthetase [EC:6.2.1.16]	6	15	15	7
K01908	ACSS3, prpE	propionyl-CoA synthetase [EC:6.2.1.17]	9	6	6	7
K11355	rcp1	two-component system, chemotaxis family, response regulator Rcp1	3	3	2	4
K11357	divJ	two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]	10	6	7	6
K00411	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	3	6	1	4
K19745	acuI	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	9	7	3	1
K00413	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit	1	3	4	1
K07160	pxpA	5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]	12	8	11	11
K00340	nuoK	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	12	9	17	6
K00341	nuoL	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	24	32	17	18
K00342	nuoM	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	22	17	20	13
K00343	nuoN	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	53	54	40	33
K00344	qor, CRYZ	NADPH:quinone reductase [EC:1.6.5.5]	20	19	17	19
