# amplicon position	effect
118	8.780108780108779598e+00
119	6.172839506172839386e+00
120	5.128205128205128638e+00
121	3.919537252870586297e+00
122	3.651903651903651848e+00
123	3.358370025036691686e+00
124	3.289303289303289191e+00
125	3.159803159803159733e+00
126	3.090736424069757238e+00
127	2.831736165069498323e+00
128	2.814469481136147699e+00
129	2.684969351636018242e+00
130	2.590002590002590033e+00
131	2.529569196235863071e+00
132	2.417335750669083794e+00
133	2.339635672969006208e+00
134	2.244668911335577999e+00
135	2.218768885435552285e+00
136	2.080635413968747294e+00
137	2.054735388068721580e+00
138	2.011568678235344798e+00
139	1.994301994301994396e+00
140	1.951135284468617836e+00
141	1.933868600535267213e+00
142	1.778468445135111820e+00
143	1.726668393335059948e+00
144	1.657601657601657674e+00
145	1.631701631701631738e+00
146	1.614434947768281114e+00
147	1.614434947768281114e+00
148	1.605801605801605803e+00
149	1.329534662867996264e+00
150	1.303634636967970328e+00
151	1.225934559267892521e+00
152	1.182767849434516183e+00
153	1.139601139601139623e+00
154	1.113701113701113687e+00
155	1.113701113701113687e+00
156	1.113701113701113687e+00
157	1.070534403867737128e+00
158	1.061901061901061816e+00
159	1.061901061901061816e+00
160	9.928343261676595422e-01
161	9.410342743676076704e-01
162	9.065009065009065337e-01
163	8.806008806008805978e-01
164	8.547008547008546619e-01
165	7.856341189674522774e-01
166	7.856341189674522774e-01
167	7.338340671674005167e-01
168	6.906673573340239569e-01
169	6.906673573340239569e-01
170	6.906673573340239569e-01
171	6.302339635672968843e-01
172	6.302339635672968843e-01
173	6.129672796339462604e-01
174	6.129672796339462604e-01
175	6.129672796339462604e-01
176	6.129672796339462604e-01
177	6.129672796339462604e-01
178	3.885003885003884827e-01
179	3.885003885003884827e-01
180	3.626003626003626024e-01
181	3.280669947336614101e-01
182	3.194336527669860981e-01
183	3.194336527669860981e-01
184	3.194336527669860981e-01
185	2.935336268669602178e-01
186	2.935336268669602178e-01
187	2.935336268669602178e-01
188	2.935336268669602178e-01
189	2.935336268669602178e-01
190	2.935336268669602178e-01
191	2.935336268669602178e-01
192	2.935336268669602178e-01
193	2.935336268669602178e-01
194	2.590002590002590255e-01
195	1.985668652335318973e-01
196	1.467668134334801089e-01
197	1.467668134334801089e-01
198	1.467668134334801089e-01
199	1.467668134334801089e-01
200	3.453336786670119923e-02
201	3.453336786670119923e-02
202	3.453336786670119923e-02
203	3.453336786670119923e-02
204	3.453336786670119923e-02
205	3.453336786670119923e-02
206	3.453336786670119923e-02
207	3.453336786670119923e-02
208	3.453336786670119923e-02
209	3.453336786670119923e-02
210	3.453336786670119923e-02
211	0.000000000000000000e+00
212	0.000000000000000000e+00
213	0.000000000000000000e+00
214	0.000000000000000000e+00
215	0.000000000000000000e+00
216	0.000000000000000000e+00
217	0.000000000000000000e+00
218	0.000000000000000000e+00
219	0.000000000000000000e+00
220	0.000000000000000000e+00
221	0.000000000000000000e+00
222	0.000000000000000000e+00
223	0.000000000000000000e+00
224	0.000000000000000000e+00
225	0.000000000000000000e+00
226	0.000000000000000000e+00
227	0.000000000000000000e+00
228	0.000000000000000000e+00
229	0.000000000000000000e+00
230	0.000000000000000000e+00
231	0.000000000000000000e+00
232	0.000000000000000000e+00
233	0.000000000000000000e+00
234	0.000000000000000000e+00
235	0.000000000000000000e+00
236	0.000000000000000000e+00
237	0.000000000000000000e+00
238	0.000000000000000000e+00
239	0.000000000000000000e+00
240	0.000000000000000000e+00
241	0.000000000000000000e+00
242	0.000000000000000000e+00
243	0.000000000000000000e+00
244	0.000000000000000000e+00
245	0.000000000000000000e+00
246	0.000000000000000000e+00
247	0.000000000000000000e+00
248	0.000000000000000000e+00
249	0.000000000000000000e+00
250	0.000000000000000000e+00
251	0.000000000000000000e+00
252	0.000000000000000000e+00
253	0.000000000000000000e+00
254	0.000000000000000000e+00
255	0.000000000000000000e+00
256	0.000000000000000000e+00
257	0.000000000000000000e+00
258	0.000000000000000000e+00
259	0.000000000000000000e+00
260	0.000000000000000000e+00
261	0.000000000000000000e+00
262	0.000000000000000000e+00
263	0.000000000000000000e+00
264	0.000000000000000000e+00
265	0.000000000000000000e+00
