Taxon	Counts	Percent
sk_Eukaryota;k__Eukaryota incertae sedis;p__Euglenida	14	< 1%
sk_Eukaryota;k__Metazoa;p__Brachiopoda	13	< 1%
sk_Eukaryota;k__Fungi;p__Chytridiomycota	13	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Saccharibacteria	13	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Elusimicrobia	13	< 1%
sk_Eukaryota;k__Fungi;p__Microsporidia	10	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Beckwithbacteria	9	< 1%
sk_Archaea;Other;Other	9	< 1%
s__uncultured prokaryote AT5;Other;Other	8	< 1%
sk_Eukaryota;k__Eukaryota incertae sedis;p__Phaeophyceae	7	< 1%
sk_Viruses;Other;Other	7	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Coprothermobacterota	7	< 1%
s__uncultured marine microorganism HF4000_ANIW137J11;Other;Other	6	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__candidate division WWE3	6	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Dictyoglomi	6	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Cloacimonetes	5	< 1%
sk_Eukaryota;k__Metazoa;p__Placozoa	4	< 1%
s__uncultured marine microorganism HF4000_APKG8L7;Other;Other	4	< 1%
s__uncultured organism CA878;Other;Other	4	< 1%
sk_Eukaryota;k__Metazoa;p__Rotifera	4	< 1%
s__uncultured marine microorganism HF4000_APKG5H11;Other;Other	3	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Candidatus Korarchaeota	3	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Caldiserica	3	< 1%
s__uncultured marine microorganism HF4000_005I08;Other;Other	3	< 1%
sk_Eukaryota;k__Fungi;p__Fungi incertae sedis	3	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Wolfebacteria	2	< 1%
s__uncultured marine microorganism HF4000_009L19;Other;Other	2	< 1%
sk_Eukaryota;k__Fungi;p__Blastocladiomycota	2	< 1%
s__uncultured organism CA37;Other;Other	2	< 1%
sk_Eukaryota;k__Metazoa;p__Tardigrada	2	< 1%
s__uncultured organism CA915;Other;Other	2	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Nanoarchaeota	2	< 1%
s__uncultured marine microorganism HF4000_ANIW93N21;Other;Other	2	< 1%
sk_Eukaryota;k__Metazoa;p__Nemertea	2	< 1%
s__uncultured prokaryote 2E01B;Other;Other	2	< 1%
sk_Eukaryota;k__Metazoa;p__Ctenophora	2	< 1%
s__Shuttle vector pXsp8;Other;Other	1	< 1%
s__uncultured marine microorganism HF4000_APKG2H5;Other;Other	1	< 1%
sk_Eukaryota;k__Metazoa;p__Chaetognatha	1	< 1%
sk_Eukaryota;k__Fungi;p__Zoopagomycota	1	< 1%
s__uncultured marine microorganism HF4000_APKG8C21;Other;Other	1	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Candidatus Micrarchaeota	1	< 1%
s__Cloning vector pABCc-mob;Other;Other	1	< 1%
s__uncultured marine microorganism HF4000_ANIW137I15;Other;Other	1	< 1%
s__Plasmid pFKY4;Other;Other	1	< 1%
sk_Eukaryota;k__Eukaryota incertae sedis;p__Xanthophyceae	1	< 1%
s__uncultured marine microorganism HF4000_ANIW137G21;Other;Other	1	< 1%
s__Cloning vector pAB34;Other;Other	1	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Melainabacteria	1	< 1%
s__uncultured organism pXylP;Other;Other	1	< 1%
s__uncultured marine microorganism HF4000_APKG10H12;Other;Other	1	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Campbellbacteria	1	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Woesebacteria	1	< 1%
s__uncultured marine microorganism HF4000_137B17;Other;Other	1	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Curtissbacteria	1	< 1%
s__Shuttle vector pDA71;Other;Other	1	< 1%
s__uncultured organism pCelD;Other;Other	1	< 1%
s__Broad host range vector vector pCVD019;Other;Other	1	< 1%
sk_Archaea;k__Archaea incertae sedis;p__Archaea incertae sedis	1	< 1%
s__Vector pATMTNF1;Other;Other	1	< 1%
s__uncultured marine microorganism HF4000_APKG1C9;Other;Other	1	< 1%
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Berkelbacteria	1	< 1%
s__uncultured marine microorganism HF4000_APKG10F17;Other;Other	1	< 1%
s__uncultured organism pCelK;Other;Other	1	< 1%
s__uncultured marine microorganism HF4000_APKG2J17;Other;Other	1	< 1%
