# amplicon position	effect
118	1.216801018243529953e+01
119	8.985999151463724743e+00
120	7.568943572337717640e+00
121	5.795502757742893252e+00
122	5.447602885023334451e+00
123	5.328807806533728986e+00
124	5.031820110309715766e+00
125	4.811200678829020028e+00
126	4.649978786593126578e+00
127	4.403903266864658050e+00
128	4.361476453118370955e+00
129	4.251166737378023086e+00
130	4.166313109885448007e+00
131	4.047518031395842542e+00
132	3.979635129401781768e+00
133	3.860840050912176302e+00
134	3.809927874416631166e+00
135	3.784471786168858820e+00
136	3.657191344929995758e+00
137	3.597793805685193025e+00
138	3.495969452694102753e+00
139	3.453542638947815213e+00
140	3.385659736953754884e+00
141	3.343232923207466900e+00
142	3.283835383962664611e+00
143	3.156554942723801549e+00
144	3.097157403478998816e+00
145	3.097157403478998816e+00
146	3.029274501484938487e+00
147	3.020789138735680890e+00
148	3.003818413237165696e+00
149	2.723801442511667226e+00
150	2.723801442511667226e+00
151	2.588035638523547011e+00
152	2.537123462028001875e+00
153	2.537123462028001875e+00
154	2.511667373780229084e+00
155	2.511667373780229084e+00
156	2.469240560033941545e+00
157	2.409843020789138812e+00
158	2.375901569792108425e+00
159	2.257106491302503404e+00
160	2.180738226559185478e+00
161	2.138311412812897938e+00
162	2.070428510818837609e+00
163	2.061943148069580012e+00
164	2.053457785320322415e+00
165	2.019516334323292472e+00
166	2.002545608824777279e+00
167	1.960118795078489518e+00
168	1.960118795078489518e+00
169	1.934662706830716949e+00
170	1.917691981332201978e+00
171	1.747984726347051376e+00
172	1.731014000848536183e+00
173	1.731014000848536183e+00
174	1.731014000848536183e+00
175	1.731014000848536183e+00
176	1.671616461603733450e+00
177	1.654645736105218479e+00
178	1.400084853627492576e+00
179	1.332201951633432246e+00
180	1.289775137887144707e+00
181	1.179465422146796838e+00
182	1.170980059397539241e+00
183	1.052184980907933776e+00
184	1.052184980907933776e+00
185	9.333899024183284210e-01
186	9.333899024183284210e-01
187	9.333899024183284210e-01
188	9.333899024183284210e-01
189	8.570216376750106058e-01
190	7.212558336868901687e-01
191	6.788290199406024072e-01
192	6.618582944420874359e-01
193	6.109461179465421887e-01
194	6.109461179465421887e-01
195	6.109461179465421887e-01
196	6.109461179465421887e-01
197	5.260924904539668878e-01
198	5.260924904539668878e-01
199	4.751803139584216962e-01
200	3.818413237165889096e-01
201	3.818413237165889096e-01
202	3.648705982180738272e-01
203	3.648705982180738272e-01
204	3.054730589732710944e-01
205	2.036487059821807388e-01
206	1.527365294866355472e-01
207	1.527365294866355472e-01
208	1.187950784896054240e-01
209	1.187950784896054240e-01
210	1.187950784896054240e-01
211	0.000000000000000000e+00
212	0.000000000000000000e+00
213	0.000000000000000000e+00
214	0.000000000000000000e+00
215	0.000000000000000000e+00
216	0.000000000000000000e+00
217	0.000000000000000000e+00
218	0.000000000000000000e+00
219	0.000000000000000000e+00
220	0.000000000000000000e+00
221	0.000000000000000000e+00
222	0.000000000000000000e+00
223	0.000000000000000000e+00
224	0.000000000000000000e+00
225	0.000000000000000000e+00
226	0.000000000000000000e+00
227	0.000000000000000000e+00
228	0.000000000000000000e+00
229	0.000000000000000000e+00
230	0.000000000000000000e+00
231	0.000000000000000000e+00
232	0.000000000000000000e+00
233	0.000000000000000000e+00
234	0.000000000000000000e+00
235	0.000000000000000000e+00
236	0.000000000000000000e+00
237	0.000000000000000000e+00
238	0.000000000000000000e+00
239	0.000000000000000000e+00
240	0.000000000000000000e+00
241	0.000000000000000000e+00
242	0.000000000000000000e+00
243	0.000000000000000000e+00
244	0.000000000000000000e+00
245	0.000000000000000000e+00
246	0.000000000000000000e+00
247	0.000000000000000000e+00
248	0.000000000000000000e+00
249	0.000000000000000000e+00
250	0.000000000000000000e+00
251	0.000000000000000000e+00
252	0.000000000000000000e+00
253	0.000000000000000000e+00
254	0.000000000000000000e+00
255	0.000000000000000000e+00
256	0.000000000000000000e+00
257	0.000000000000000000e+00
258	0.000000000000000000e+00
259	0.000000000000000000e+00
260	0.000000000000000000e+00
261	0.000000000000000000e+00
262	0.000000000000000000e+00
263	0.000000000000000000e+00
264	0.000000000000000000e+00
265	0.000000000000000000e+00
