#ID	length	GC	coverage	Taxonomic assignment	NCBI taxaid lineage	scores	reason	bin	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_75346	9882	39.547	7.44	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;1.00;1.00;0.88	based on 9/9 ORFs	13	0.0136192	0.0127309	0	0.0129575	0	0.0717379	0	3.16024	0	0.0152791
k141_50209	47614	53.753	11.00	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 38/39 ORFs	3	0.00175992	0.129966	0.00371423	0.0055814	0.232738	0.0988823	0.498109	0.0172947	0	0.00526511
k141_37712	4280	45.491	6.16	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;	1;131567;2;1783270;68336;976;200643;171549;1853231;574697	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.56;0.56	based on 4/4 ORFs	18	0.50822	0.950146	0.131336	0.345378	1.40506	1.01981	1.56621	0	0.157007	0.407258
k141_50220	4693	44.705	8.10	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 5/5 ORFs	15	0	0	0	0.0574528	0	0.212054	0	0.0574273	8.48825	0.0677464
k141_62830	4085	53.953	8.97	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 5/5 ORFs	22	0	0	1.15339	7.73443	0	0.139937	0	0	0.0861771	0.178827
k141_37726	4852	52.782	6.07		1	1.00	based on 4/4 ORFs	17	0	0	0	0	0.983974	0	3.55861	0	0	0
k141_12662	9376	36.860	9.76	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;1.00;1.00;0.78	based on 9/9 ORFs	13	0.0151288	0.0282843	0.0136837	0.0287877	0.0146392	0.0531266	0.0261092	4.37379	0.0163584	0.0169727
k141_50237	2550	43.961	4.56	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium sp.*;	1;131567;2;1783272;1239;186801;186802;186806;1730;3100185;142586*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	15	0	0	0	0	0	0.718235	0	0.194509	8.18271	0
k141_12663	3501	60.183	17.46	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;NA;Lachnospiraceae bacterium;	1;131567;2;1783272;1239;186801;3085636;186803;186928;1898203	1.00;1.00;1.00;1.00;1.00;1.00;0.85;0.85;0.85;0.85	based on 3/3 ORFs	14	0	0	0.392569	0	0.104995	0.190517	0	0	0.586627	6.45177
k141_50247	2938	41.899	6.08	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	15	0	0	0	0	0	0	0	0	9.99594	0
k141_75379	10891	52.603	10.25	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.70;0.70;0.70	based on 11/13 ORFs	28	0	0.220107	0.0101416	0	1.51896	2.04746	0.0483764	0.970343	0.0121238	0
k141_157	2979	49.547	7.21	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;	1;131567;2;1783270;68336;976;200643;171549;2005473	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.71	based on 5/5 ORFs	3	0	1.96127	0	0	1.30513	0.7894	5.94861	0.142521	0	0
k141_25112	81974	55.830	35.09	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;	1;131567;2;1783257;74201;203494;48461;1647988;239934	1.00;0.99;0.99;0.92;0.92;0.92;0.92;0.92;0.52	based on 69/69 ORFs	20	0.160909	0.0127658	0.24704	0.327649	0.776589	0.119543	0.0455993	0.00734061	0.106788	0.103249
k141_37754	3015	41.161	6.49	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 4/4 ORFs	18	0.58523	1.64118	0.529329	1.94879	1.69887	1.28444	1.26248	0	0	0.656557
k141_170	3406	39.577	10.64	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens;	1;131567;2;1783270;68336;976;200643;171549;815;816;85831	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.67;0.67	based on 4/4 ORFs	3	0	1.286	0	0	2.66241	2.01292	6.5291	0.218052	0	0.128617
k141_75388	7002	51.842	14.36	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 6/6 ORFs	26	2.63129	0.0253575	0.858744	1.41949	0	0.428662	0	0	0	0.334762
k141_62873	4073	48.711	7.55	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.66;0.66;0.66;0.66;0.66	based on 2/3 ORFs	3	0	0.749413	0.145024	0	1.70666	0.563051	4.08152	0.228724	0	0.179882
k141_75393	3740	51.310	8.90	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 6/6 ORFs	22	0.190164	0	1.97799	6.33238	0.0920046	1.16862	0.0820457	0	1.02809	0.960034
k141_37763	6262	41.824	6.80	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;	1;131567;2;1783270;68336;976;200643;171549;1853231;574697	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 6/6 ORFs	18	0.474835	0.792618	0.245417	0.580843	1.34558	0.595512	0.585333	0.0322547	0.0366733	0.228303
k141_182	5310	54.633	6.70	Bacteria;	1;131567;2	1.00;1.00;0.89	based on 4/4 ORFs	17	0.0471685	0	0.042663	0	1.4149	0	3.54103	0	0	0
k141_25132	4039	48.601	7.99	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 4/5 ORFs	26	4.56543	0	0.663644	1.5513	0	1.43143	0	0.155061	0.176302	0.731694
k141_12716	2938	35.330	47.62	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;0.62;0.62;0.62;0.62;0.62	based on 3/3 ORFs	13	0.308154	0	0	0	0	0	0	10.2569	0	0
k141_62892	2504	45.966	10.28	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella;uncultured Schaedlerella sp.*;	1;131567;2;1783272;1239;186801;3085636;186803;2676048;2676054;2676055*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	22	0	0	4.98821	11.5032	0	1.48973	0	0	0.229355	0.237968
k141_50294	11874	67.416	78.87	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured Alistipes sp.*;	1;131567;2;1783270;68336;976;200643;171549;171550;239759;538948;538949*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.82;0.82;0.82	based on 12/12 ORFs	19	0.150927	0.802412	0.17917	0.143595	0.830615	1.50718	0.529076	0.690743	0.0305987	0.148157
k141_37776	4167	55.604	6.48	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;NA;Lachnospiraceae bacterium;	1;131567;2;1783272;1239;186801;3085636;186803;186928;1898203	1.00;1.00;1.00;1.00;1.00;1.00;0.84;0.84;0.73;0.73	based on 6/6 ORFs	14	0.306376	0.143197	0.207833	0.145746	0	0	0	0	1.65638	5.67132
k141_75410	4626	52.097	35.31	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 4/4 ORFs	20	2.67238	0.406665	4.72181	4.02078	14.3126	3.05537	1.28706	0.0591028	1.20959	1.95224
k141_87966	19883	53.382	11.01	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.53;0.53;0.53;0.53;0.53	based on 12/13 ORFs	3	0.0235492	0.308186	0.00304282	0.0160036	0.605483	0.14767	1.18729	0.0223951	0.025463	0.00754837
k141_62900	4222	48.816	8.54	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella;uncultured Schaedlerella sp.*;	1;131567;2;1783272;1239;186801;3085636;186803;2676048;2676054;2676055*	1.00;1.00;1.00;1.00;1.00;1.00;0.74;0.74;0.74;0.74;0.74	based on 3/3 ORFs	22	0.149223	0	1.82208	6.10484	0	0.131003	0	0	0.0806751	0.16741
k141_25156	2780	59.712	10.20	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.93;0.71;0.71	based on 3/3 ORFs	28	0	2.09124	0	0	6.99379	5.1366	0.148494	2.94579	0	0
k141_37794	2651	29.234	5.64	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	13	0	0.176901	0	0	0	0.332275	0	8.81853	0.409248	0
k141_75426	6416	33.307	7.16	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella;uncultured Schaedlerella sp.*;	1;131567;2;1783272;1239;186801;3085636;186803;2676048;2676054;2676055*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 7/7 ORFs	23	0.0323082	0	0.818219	3.56567	0.0312625	0.567268	0.0278785	0.0307249	0.139736	0.181229
k141_25164	6469	39.357	8.13	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;1.00;1.00;1.00	based on 7/7 ORFs	13	0.0317809	0	0	0	0	0.0558011	0	5.138	0	0
k141_37808	2933	41.732	5.15	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	18	0.463808	0.867116	0.83901	0.88255	2.24398	1.90016	1.06725	0	0	0.693782
k141_87982	7974	56.847	8.29	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 5/5 ORFs	28	0.0209165	0.43015	0.0189185	0.0199003	1.70012	2.27696	0.0541462	0.895117	0.0226164	0.0234658
k141_25173	5644	38.324	6.81	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 4/4 ORFs	18	0.501012	1.01473	0.528682	0.436949	1.00999	1.0996	0.720535	0	0.0451442	0.421556
k141_202	18341	49.288	19.84	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.55;0.55	based on 20/21 ORFs	11	0.249078	0.62828	0.143039	0.165508	0.286925	0.0555342	0.317275	1.76338	1.00889	0.0487903
k141_25179	5973	54.127	8.31	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 3/3 ORFs	22	0.0372783	0	1.28126	4.46887	0.0360718	0.130907	0	0.0354515	0.161232	0.0418217
k141_205	3310	32.387	59.82	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 3/3 ORFs	10	0	1.92905	0.768568	0	0	0.426276	1.36172	7.04196	0.262512	0.136186
k141_12736	30244	42.610	106.26	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;	1;131567;2;1783270;68336;976;200643;171549;815	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.65	based on 32/33 ORFs	9	1.13848	4.00681	0.741721	0.517375	2.8195	2.01426	3.83043	0.00138274	0.00628865	0.228369
k141_62914	27309	41.078	9.14	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;0.97;0.93;0.83;0.83;0.74	based on 25/25 ORFs	13	0.00178332	0	0.00322596	0.00169668	0.00517681	0.018787	0	1.31774	0.00385651	0.00400134
k141_207	5467	48.052	6.61	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 5/5 ORFs	28	0.0444982	0.332768	0	0	2.62654	2.18764	0	0.973306	0.0481147	0
k141_88012	2645	53.535	9.54	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	22	0	0	1.5475	11.7564	0.183951	1.00135	0	0	0.205553	0.213273
k141_25189	8853	48.752	7.99	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 6/7 ORFs	26	1.79873	0	0.491144	0.791093	0	0.446917	0	0.0161376	0.0183483	0.418821
k141_25190	2539	52.225	6.58	Bacteria;	1;131567;2	1.00;1.00;0.58	based on 4/4 ORFs	17	0	0	0	0	2.99446	0.362236	7.47692	0	0	0
k141_216	3582	54.439	5.82	Bacteria;	1;131567;2	1.00;1.00;0.64	based on 6/6 ORFs	17	0	0	0	0	1.4042	0	4.56161	0	0	0
k141_50304	45792	53.734	25.05	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;0.83;0.83;0.83;0.83;0.83;0.62;0.62;0.62	based on 28/30 ORFs	24	1.30022	0.000592886	0.527775	0.0965502	0.00306862	0.0133635	0.000547293	0	0.00411479	0.490261
k141_37869	5395	63.355	9.72	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured Alistipes sp.*;	1;131567;2;1783270;68336;976;200643;171549;171550;239759;538948;538949*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 6/6 ORFs	19	0.548327	1.49498	0.247975	0.43474	1.37067	1.60459	1.41944	1.08637	0	0.205052
k141_236	3317	57.642	5.24	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;NA;Lachnospiraceae bacterium;	1;131567;2;1783272;1239;186801;3085636;186803;186928;1898203	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 2/2 ORFs	14	0	0	0.327997	0	0.116967	0.424479	0	0	0.392108	7.05179
k141_25194	10627	31.288	7.61	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;0.91;0.91;0.91	based on 10/10 ORFs	13	0.0235532	0.0330255	0	0	0	0.0206774	0	2.97906	0.0254674	0.0660596
k141_37870	2897	43.079	7.80	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 3/3 ORFs	18	1.42622	2.222	0.573328	1.20616	2.3001	0.834721	1.6409	0.150703	0	1.0667
k141_25198	2704	48.484	8.06	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.58;0.58;0.58;0.58;0.58	based on 2/2 ORFs	3	0	1.02021	0.164523	0	2.99218	0.638754	6.74923	0.345968	0	0
k141_238	4727	44.151	6.99	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 4/4 ORFs	15	0	0	0.0538355	0.113259	0	0.731549	0	0	6.75762	0
k141_62924	24431	47.165	10.20	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.88;0.88;0.88;0.88;0.88;0.78;0.78	based on 18/18 ORFs	10	0.0133693	0.245782	0.108831	0.0127198	0.144459	0.0234739	0.244186	0.959921	0.0120466	0.0024998
k141_245	5474	41.085	7.26	Bacteria;Bacteroidota;Bacteroidia;	1;131567;2;1783270;68336;976;200643	1.00;1.00;1.00;1.00;0.77;0.77;0.77	based on 7/8 ORFs	18	0.532614	0.954264	0.481739	0.675652	1.1596	1.16896	0.91918	0.084419	0.0479917	0.497941
k141_251	4582	49.913	8.33	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78	based on 5/5 ORFs	28	0	0.473729	0	0.0602701	3.49396	4.11537	0	1.56633	0	0.0710685
k141_50340	15461	46.763	12.32	Bacteria;	1;131567;2	1.00;0.95;0.95	based on 15/15 ORFs	10	0	0.499282	0.0855488	0.0211737	0.403774	0.185607	0.921775	1.21166	0.0120318	0.0312092
k141_25201	22293	58.444	12.12	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94	based on 19/20 ORFs	27	0.652971	0	0.605122	0.369184	0.041432	0.432282	0.0023092	0.00508994	0.133106	0.336255
k141_12815	5015	37.468	5.35	Bacteria;Bacillota;Clostridia;NA;NA;NA;Clostridia bacterium;	1;131567;2;1783272;1239;186801;348841;2044939	1.00;1.00;1.00;0.83;0.83;0.83;0.70;0.70	based on 4/5 ORFs	15	0	0	0	0	0.0511695	0	0.0456307	0.150869	4.86019	0
k141_88017	34278	47.001	43.87	Bacteria;	1;131567;2	1.00;0.67;0.67	based on 16/16 ORFs	25	1.03796	0.840117	0.576392	0.382305	0.130337	0.268299	0.499101	0.414428	0.0012239	1.49336
k141_75554	4411	52.437	8.73	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 3/3 ORFs	26	5.19494	0	0.927379	1.75591	0	0.960136	0	0.0650048	0.14782	0.383427
k141_260	16675	47.346	11.37	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 16/18 ORFs	3	0.0095662	0.433701	0	0.00455073	0.661846	0.201556	1.44869	0.0636819	0.0103437	0
k141_12835	8569	42.747	10.35	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 9/9 ORFs	10	0	0.66032	0.19659	0.0344653	0.297949	0.0636043	0.656429	3.18663	0	0
k141_265	3510	39.459	8.24	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;	1;131567;2;1224;1236;91347	1.00;1.00;1.00;1.00;1.00;0.92	based on 4/4 ORFs	13	0	0	0	0	0	0	0	9.75279	0	0
k141_50346	29910	44.978	21.28	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.88;0.88	based on 29/30 ORFs	11	0.203671	0.411348	0.106227	0.0678923	0.179817	0.0365437	0.228342	1.10276	0.710502	0.0333568
k141_75584	7281	41.244	8.26	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;1.00;1.00;1.00;1.00;1.00	based on 6/6 ORFs	23	0.0501752	0	0.93034	3.7474	0	0.220244	0	0	0.108506	0.0844357
k141_271	14230	49.136	23.54	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	based on 11/11 ORFs	11	0.525438	0.847265	0.243565	0.187467	0.394035	0.149917	0.555412	2.46721	1.66181	0.0736847
k141_88057	9137	52.446	8.94	Bacteria;Bacillota;Clostridia;	1;131567;2;1783272;1239;186801	1.00;0.93;0.93;0.77;0.77;0.77	based on 9/9 ORFs	22	0.111515	0	0.633995	3.01619	0.0154151	0.279711	0	0	0.189479	0.250212
k141_25207	38152	46.648	44.40	Bacteria;	1;131567;2	1.00;0.93;0.93	based on 31/31 ORFs	25	0.938376	0.67902	0.556187	0.385107	0.11759	0.184493	0.439945	0.475305	0.0158074	1.35821
k141_75586	4797	53.950	9.51	Bacteria;	1;131567;2	1.00;0.91;0.91	based on 12/12 ORFs	28	0.0577965	0.54027	0.0522758	0.0549886	2.85222	4.36361	0.199489	2.1436	0.49995	0.0648407
k141_88064	3241	56.371	5.61	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;NA;Lachnospiraceae bacterium;	1;131567;2;1783272;1239;186801;3085636;186803;186928;1898203	1.00;1.00;1.00;1.00;1.00;1.00;0.74;0.74;0.74;0.74	based on 4/4 ORFs	14	0.126614	0	0.11452	0	0.122517	0.22231	0	0	1.09524	7.24435
k141_75595	3612	47.315	8.75	Bacteria;	1;131567;2	1.00;1.00;1.00	based on 2/4 ORFs	3	0.20388	2.00112	0	0	2.26874	0.536961	5.54171	0	0.110225	0.343094
k141_50349	20890	51.015	9.75	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;	1;131567;2;1783270;68336;976;200643;171549;2005473;2006847;2498093	1.00;1.00;1.00;0.86;0.86;0.86;0.86;0.86;0.86;0.65;0.65	based on 17/17 ORFs	16	0.00609529	0	0.00551307	0.507427	0.0825722	0.0481596	0	0.968031	0.00659066	0.499187
k141_12877	2740	49.161	6.79	Bacteria;Bacillota;Clostridia;NA;NA;NA;Clostridia bacterium;	1;131567;2;1783272;1239;186801;348841;2044939	1.00;1.00;1.00;1.00;1.00;1.00;0.65;0.65	based on 2/2 ORFs	15	0	0	0	0	0	2.79936	0	0	10.3435	0
